id,lane,v,x,y
1,12,7.43,19.375,-109.96999999999989
2,22,10.46,87.44000000000008,19.375
3,11,13.32,15.625,-40.16000000000007
4,32,10.99,5.625,76.90000000000003
5,42,14.28,-28.639999999999986,5.625
6,33,14.0,9.375,57.0
7,21,11.33,89.0399999999999,15.625
8,43,9.26,-69.50000000000009,9.375
9,21,8.95,118.0000000000001,15.625
10,43,11.04,-78.56000000000009,9.375
11,42,13.68,-49.51999999999994,5.625
12,22,10.72,93.46000000000008,19.375
13,32,12.66,5.625,85.74000000000004
14,12,7.24,19.375,-114.65999999999988
15,33,8.07,9.375,117.39
16,11,10.05,15.625,-88.65000000000006
17,12,7.86,19.375,-121.39999999999988
18,43,10.03,-90.65999999999997,9.375
19,32,11.91,5.625,104.81999999999992
20,33,8.58,9.375,123.91
21,42,10.43,-63.95999999999998,5.625
22,11,9.85,15.625,-93.75000000000006
23,21,9.95,125.5000000000001,15.625
24,22,12.29,102.10000000000008,19.375
25,12,7.42,19.375,-133.2200000000001
26,43,10.66,-97.41999999999997,9.375
27,42,12.68,-73.95999999999998,5.625
28,11,10.95,15.625,-101.45000000000006
29,21,9.23,141.9300000000001,15.625
30,33,10.25,9.375,132.75
31,32,11.95,5.625,110.39999999999992
32,22,10.19,133.29000000000002,19.375
33,33,9.52,9.375,148.83999999999992
34,22,10.35,142.20000000000005,19.375
35,32,13.3,5.625,118.59999999999992
36,42,14.59,-83.27999999999997,5.625
37,43,11.84,-105.27999999999997,9.375
38,12,7.57,19.375,-139.44000000000005
39,21,8.67,155.6400000000001,15.625
40,11,9.46,15.625,-124.31999999999994
41,33,7.22,9.375,170.48
42,43,8.14,-132.96999999999994,9.375
43,42,8.43,-140.98999999999995,5.625
44,12,7.41,19.375,-148.13000000000002
45,22,7.43,170.52000000000007,19.375
46,32,13.51,5.625,130.43000000000006
47,21,7.9,166.44999999999996,15.625
48,11,7.74,15.625,-139.73
49,32,7.54,5.625,177.52999999999997
50,43,8.64,-139.46999999999994,9.375
51,12,7.29,19.375,-154.31999999999996
52,42,8.59,-148.45999999999998,5.625
53,11,8.38,15.625,-146.51
54,33,7.23,9.375,176.0
55,21,8.45,173.04999999999995,15.625
56,22,7.98,177.12000000000006,19.375
57,22,8.3,183.49999999999994,19.375
58,42,7.27,-163.64999999999995,5.625
59,12,7.55,19.375,-160.33999999999997
60,21,9.05,179.74999999999994,15.625
61,32,8.15,5.625,184.24999999999997
62,43,10.33,-148.34999999999994,9.375
63,11,9.25,15.625,-153.75
64,33,8.28,9.375,183.6
65,12,8.21,19.375,-167.15999999999997
66,42,7.56,-169.76,5.625
67,32,7.83,5.625,193.67999999999995
68,11,7.39,15.625,-169.06
69,22,8.75,190.0,19.375
70,43,11.0,-156.0,9.375
71,21,8.4,191.39999999999998,15.625
72,33,8.52,9.375,190.91999999999996
73,11,7.83,15.625,-175.44
74,21,8.91,198.27,15.625
75,32,7.8,5.625,201.59999999999997
76,43,11.32,-166.04000000000002,9.375
77,12,8.27,19.375,-175.18999999999997
78,22,8.94,198.18,19.375
79,42,7.46,-176.3,5.625
80,33,8.46,9.375,199.61999999999998
81,32,8.26,5.625,208.48000000000002
82,22,8.65,207.7,19.375
83,42,8.28,-183.44,5.625
84,11,8.68,15.625,-182.64
85,12,7.13,19.375,-185.74
86,43,11.12,-175.79,9.375
87,33,7.8,9.375,209.39999999999998
88,21,7.13,209.88,15.625
89,21,7.96,217.04,15.625
90,42,7.34,-192.66,5.625
91,32,7.05,5.625,217.95
92,33,8.04,9.375,216.96
93,22,8.91,216.09,19.375
94,11,7.49,15.625,-192.51
95,12,7.29,19.375,-192.71
96,43,13.65,-186.35,9.375
97,42,8.18,-200.0,5.625
98,22,8.82,225.0,19.375
99,33,7.49,9.375,225.0
100,11,7.95,15.625,-200.0
