id,lane,v,x,y
1,12,8.92,19.375,-119.7200000000001
2,22,11.25,123.75,19.375
3,43,12.41,-88.31000000000003,9.375
4,42,13.7,-76.70000000000005,5.625
5,32,14.72,5.625,92.52000000000001
6,43,10.55,-115.59999999999994,9.375
7,12,7.36,19.375,-141.1199999999999
8,42,9.99,-120.07999999999994,5.625
9,32,11.04,5.625,136.68000000000006
10,11,13.45,15.625,-92.40000000000005
11,33,9.91,9.375,153.07999999999998
12,21,10.2,153.60000000000008,15.625
13,42,7.15,-130.53999999999996,5.625
14,11,14.06,15.625,-101.57999999999998
15,22,7.35,164.35999999999999,19.375
16,43,7.2,-148.80000000000004,9.375
17,22,7.9,170.95999999999998,19.375
18,33,10.78,9.375,160.32
19,11,11.73,15.625,-129.62000000000006
20,21,10.81,160.14,15.625
21,33,11.21,9.375,168.94999999999996
22,42,11.18,-144.09999999999997,5.625
23,11,11.03,15.625,-144.85
24,22,8.63,177.92,19.375
25,43,8.06,-156.02000000000004,9.375
26,11,9.21,15.625,-163.15999999999997
27,43,9.1,-163.60000000000002,9.375
28,21,12.57,174.72000000000003,15.625
29,12,10.47,19.375,-158.12
30,33,11.49,9.375,179.03999999999996
31,43,8.42,-174.74000000000004,9.375
32,42,12.9,-161.29999999999998,5.625
33,33,9.58,9.375,196.25999999999996
34,21,7.07,201.48000000000002,15.625
35,11,7.42,15.625,-177.74000000000004
36,43,7.63,-184.74,9.375
37,21,8.04,208.92000000000002,15.625
38,32,13.63,5.625,197.74
39,22,14.71,195.57999999999998,19.375
40,12,9.33,19.375,-181.33999999999997
41,21,7.02,217.98,15.625
42,12,8.52,19.375,-191.48
43,42,8.84,-191.16,5.625
44,33,8.0,9.375,217.0
45,22,13.33,211.67,19.375
46,33,7.58,9.375,225.0
47,11,12.53,15.625,-200.0
48,32,10.44,5.625,225.0
49,21,7.61,225.0,15.625
50,12,8.44,19.375,-200.0
